question	answer
Học viên học tại Enspire có đảm bảo việc học ngữ pháp theo chương trình học tại trường học của các cháu không?	Thưa anh/chị mục tiêu các khóa học tại Enspire đảm bảo cho các con giao tiếp tiếng anh trôi chảy và tự nhiên như người bản xứ, chúng em dạy ngữ pháp cho các con theo tình huống và ngữ cảnh trong các bài đọc chứ không dạy ngữ  pháp theo kiểu tổng kết và tách rời ngữ cảnh như các cô của các con ở lớp học ạ. Học ngữ pháp chủ yếu là để sử dụng cho đúng ngữ cảnh giao tiếp nên cách học bên em dù khối lượng kiến thức ít nhưng tính ứng dụng lại cao ạ. Với cách thi cử như ở Việt Nam em nghĩ để đảm bảo kết quả học tập ở lớp cho các con đặc biệt là ngữ pháp anh/chị nên cho cháu học thêm GVVN về ngữ pháp ít nhất 1 tuần/buổi ạ. 
Giáo viên nước ngoài rất thân thiện với các học viên liệu có hiện tượng lạm dục tình dục trẻ em tại Enspire không?	"Điều kiện đầu vào: Anh/chị yên tâm bởi Giáo viên nước ngoài ở Enspire English cần phải đi qua các bước kiểm tra như Lịch sử tội phạm, có xác nhận của đại sứ quán, kiểm tra tại cục Xuất nhập cảnh, Công an địa phương cấp lý lịch tư pháp,… thì chúng tôi mới cấp giấy phép để làm việc tại Enspire English. Các giờ dạy của giáo viên được hệ thống Camera giám sát 24/24. Trong giờ học sẽ có các bạn Trợ giảng (TA) kiểm soát lớp học và hỗ trợ bé học. Khi bé đi vệ sinh lứa tuổi HKđều có nhân viên hỗ trợ lứa tuổi SKvà SupK được tự đi nhưng nếu hơi lâu chúng tôi cũng sẽ có TA nhắc nhở cho CSO kiểm tra, nên sẽ không có điều kiện hoặc cơ hội để việc đó xảy ra. 
Để kiểm soát hết được các hành vi của GVNN rất mong anh chị cung cấp thêm kiến thức về nội dung này cho các con để các con phòng ngừa và nhận diện hành vi và có bất cứ hành vi khiếm nhã nào từ họ hãy thông báo cho chúng tôi để kịp thời xử lý."
Hệ thống anh ngữ Enspire có công khai bằng cấp và kinh nghiệm của giáo viên nước ngoài tham gia giảng dạy tại Chi nhánh không?	Chúng tôi đang xây dựng Profile của giáo viên để công bố tại Chi nhánh. Nếu Phụ huynh nào muốn xem hồ sơ của GVNN giảng dạy con em mình chúng tôi rất sẵn lòng
Trong trường hợp lớp đã bắt đầu từ lâu, học sinh mới vào làm sao theo kịp được?	Enspire English không xếp lớp cho học viên vào sau muộn, học viên chỉ vào sau (bất cứ khi nào) nếu học sinh muốn đăng ký học với lớp dưới 1 trình độ. Với lớp tương ứng với trình độ của học sinh, số buổi vào chậm không nhiều, Enspire English sẽ tổ chức phụ đạo thêm cho cháu về kiến thức các buổi trước đã học qua.
Con tôi học lớp Demo xong nhưng không thích.	"Em cảm ơn anh chị vì đã chia sẻ với em. Theo quan sát tại Enspire thì đa phần các cháu khi vào học Demo thì đều thấy thích. Vậy cho em hỏi cháu nhà anh/chị không thích lớp ở điểm nào ạ? Anh/chị nên cho cháu đi học thêm lớp đang học tại trình độ kiểm tra của con đầy đủ để bé cảm nhận thêm về lớp học và Chương trình học ạ. Con được học thử 3 buổi mỗi buổi 1,5h. Em mong anh chị sắp xếp cho con đi trải nghiệm ạ.
Con không thích có thể do con chưa hòa nhập được với các bạn vì chưa quen. Vậy em xin tặng 3 buổi học miễn phí để con trải nghiệm thêm.
Việc sau này anh/chị có đăng ký cho bé học không không quan trọng, quan trọng là em muốn bé có được trải nghiệm phương pháp học bên em."
chi nhánh có các khóa trải nghiệm thực tế hay dã ngoại cho các bé không?	Với mục tiêu đào tạo là đường hướng giao tiếp nên ngoài các giờ học trên lớp theo chương trình học các học viên Scost còn được tham gia các hoạt động ngoại khóa thường xuyên như các câu lạc bộ tiếng anh; các sự kiện theo các ngày lễ của dân tộc,chương trình dã ngoại theo chủ để học như làm bánh, làm các sản phẩm handmade
Một lớp học Enspire sẽ có bao nhiêu giáo viên nước ngoài giảng dạy? 	Một lớp học Enspire sẽ có một giáo viên nước ngoài đảm nhận giảng dạy. Ngoài ra có một trợ giảng hỗ trợ thầy và các học viên. Bên cạnh đó có một nhân viên đào tạo đảm nhận công tác chủ nhiệm lớp để kết nối giũa giáo viên nước ngoài, trung tâm với phụ huynh.
Chương trình HKhọc về nội dung gì?	Chương trình HKlà chương trình thiết kế cho lứa tuổi 4 đến 6. Đây là giai đoạn con mới làm quen với ngôn ngữ mới nên chương trình thiết kế rất đơn giản và gần gũi giúp các con hình thành tình yêu với ngôn ngữ mới. Hình ảnh thân thuộc, màu sắc bắt mắt, dễ thương là tiêu chí hàng đầu cho giáo trình lứa tuổi này. Chương trình HKcó 3 trình độ HK1, 2 và 3. Hầu hết các nội dung học là các chủ đề gần gũi cuộc sống như gia đình, động vật, màu sắc, thời tiết… Mỗi chủ đề bao gồm từ vựng, cấu trúc câu đơn giản dùng trong giao tiếp hàng ngày. Trình độ sau được mở rộng về vốn từ và cấu trúc câu hơn trình độ trước. Ngoài ra vài chủ đề lại có buổi làm dự án tức là thực hành các chủ đề đã học bằng trải nghiệm thực tế như tự làm hoặc xem giáo viên làm. Vì dụ học về món ăn thi làm dư án học sinh sẽ thiết kế một menu của nhà hàng và mỗi chủ đề mức độ tư duy bằng ngôn ngữ cũng được nâng lên. Ban đầu có thể là nhìn hình đoán chữ sau này là cho chữ ghép thành từ có nghĩa hoặc cho chữ vẽ hình...
Học sinh tại Enspire English có được bổ trợ Ngữ pháp không?	
Học sinh tại Enspire English khi học có làm bài kiểm tra gì không?	
Giáo viên tại Enspire English dạy full-time hay part-time?	Giáo viên tham gia dạy tại Enspire English bao gồm cả dạy fulltimes và part-time, tất cả giáo viên đều được tuyển chọn kỹ lưỡng, 100% giáo viên đều có bằng tốt nghiệp từ đại học trở lên và có chứng chỉ quốc tế về phương pháp giảng dạy tiếng anh như TESOL, hay TEFL dạy tiếng anh như một ngoại ngữ.
Giáo viên của Enspire đến từ những nước nào?	100% GVNN là Native Speaker: Giáo viên tại Enspire English chủ yếu đến từ Mỹ, Anh, Nam Phi, Canada, Ireland, New Zealand…Enspire tuyệt đối không sử dụng giáo viên Châu Á giảng dạy tại các Chi nhành của Enspire
Có sự chênh lệch về độ tuổi của các học viên trong một lớp học Enspire không?	Lớp học Enspire được xếp theo trình độ tiếng anh tức là các con có trình độ tiếng anh tương đương thì cùng vào một lớp do đó sẽ có sự chênh lệch độ tuổi của các con trong các lớp học Enspire. Tuy nhiên để tạo ra môi trường học tập tốt chúng tôi không để có sự chênh lệch lớn về độ tuổi trung bình từ 2 đến 3 tuổi. 
Kết quả bài kiểm tra đầu vào được bảo lưu trong thời gian bao lâu?	1 tháng
Có chính sách ưu đãi cho gia đình hay nhóm nhiều hơn 1 người khi đăng ký học tại Enspire không?	Enspire English luôn có chính sách khuyến khích khi học viên đăng ký cho 02 con hoặc theo nhóm, thông thường sẽ là ưu đãi thêm 5-10% cho tùy các trường hợp và chính sách hiện hành
Chuẩn đầu ra của các chương trình học tại Enspire là gì?	
Con tôi không có năng khiếu học, sợ không theo được bài. Vậy có giải pháp nào cho con không?	Anh/chị hoàn toàn có thể yên tâm rằng con sẽ theo học được bài, chỉ cần phụ huynh sát sao với con khi học về nhà. Trợ giảng và các cô chủ nhiệm ( AF) sẽ luôn bám sát con trong quá trình lớp diễn ra, nếu con còn yếu điểm nào, Trợ giảng và AF sẽ trao đổi với giáo viên và phụ huynh để có hướng hỗ trợ con học tốt hơn
Khách hàng muốn tập trung vào dạy ngữ pháp, ngoại ngữ để con học giỏi trên lớp (điểm cao)	Giáo trình học được nhà xuất bản thiết kế theo chuẩn quốc tế nhằm giúp người học phát triển toàn diện cả 4 kỹ năng trong quá trình học do vậy Enspire English không thể chỉ tập trung vào dạy ngữ pháp. Tuy nhiên, trong quá trình học tại Enspire English, con có thể gặp thầy hoặc bộ phận học thuật tại Chi nhánh để nhờ hỗ trợ dạy thêm phần ngữ pháp, Enspire English luôn hoan nghênh và sẵn sàng hỗ trợ tốt các con chịu khó học hỏi.
Trong buổi học Demo, khách hàng lên chỉ trỏ và phàn nàn giáo viên phải dạy như thế này, thế kia.	"Vâng xin tiếp anh/chị, nhưng em xin phép được ghi nhận ý kiến của anh/chị cùng với Giám đốc chi nhánh sau buổi học nhé và Giáo viên phải kiểm soát buổi học
(Cứ cho khách hàng thoải mái → sau đó phản biện → giáo viên phản biện và nói về chương trình học, giáo trình và phương pháp giảng dạy + mục đích chương trình học)"
Con tôi học lớp 3 nhưng chưa được học Tiếng Anh, nếu theo đúng lộ trình các khóa học của chi nhánh thì phải lớp 12 mới kết thúc. Vậy có cách nào để đẩy nhanh quá trình?	Theo đúng lộ trình học tại Enspire English thì đúng là con cần học hết lớp 12 thì mới kết thúc toàn bộ chương trình, tuy nhiên việc này có thể rút gọn tùy thuộc vào định hướng của gia đình. Nếu gia đình muốn con đi du học thì sau khi con học hết cấp 2, con có thể chuyển sang học luyện thi IELTS. Nếu con chăm chỉ, trong vòng 01 năm, con có thể hoàn tất được khóa học IELTS và đăng ký thi lấy chứng chỉ quốc tế
Giáo viên có cố định không?	Enspire English luôn mong muốn và cố gắng để 1 giáo viên sẽ theo toàn bộ 1 khóa học của con, tuy nhiên thực tế vẫn có 1 số buổi trong khóa học Enspire sẽ để giáo viên khác dạy thay (nguyên nhân có thể do giáo viên chính ốm hoặc bận vì lý do khác). Phụ huynh có thể hoàn toàn yên tâm về chất lượng giáo viên dạy thay vì tất cả giáo viên đều đã qua vòng kiểm duyệt và đào tạo kỹ lưỡng trước khi đưa vào giảng dạy do vậy chất lượng giáo viên đều được đảm bảo.
Sau lớp Demo, khách hàng nói rằng con tôi không cần học Tiếng Anh, vì định hướng cho con làm công an, …	"Tiếng Anh là 1 trong những môn thi bắt buộc, nên việc bổ sung thêm cho bé có kết quả tốt hơn cũng rất tốt.
Việc học tiếng anh sẽ tạo cho bé có nhiều cơ hội hơn trong cuộc sống và có thể vươn lên nhiều vị trí cao hơn"
Khách hàng phàn nàn học sinh chi nhánh ồn ào như cái chợ	Rất mong phụ huynh thông cảm. Đây là môi trường của trẻ em, ngoài việc học còn là khu vui chơi của các bé, chi nhánh muốn tạo 1 không gian vui vẻ để các bé tự do vui chơi, tự do sáng tạo và tiếp xúc với nhiều bạn bè các lứa tuổi, từ các trường khác nhau tạo nên sự giao tiếp phong phú cho bé. Chỉ đầu giờ học và cuối giờ học thì mời có sự ổn ào còn trong giờ học thì hoàn toàn không có ạ.
Tư vấn viên phải làm gì khi PH có mang theo tiền nhưng chưa đủ tin tưởng để chốt phí.	gọi quản lý
chi nhánh có đảm bảo con tôi học sẽ tiến bộ không? Nếu không tiến bộ thì xử lý như thế nào?	Để con học có kết quả còn phụ thuộc vào sự kết hợp giữa gia đình - nhà trường - xã hội và bản thân khả năng của con. Về phía chi nhánh, chi nhánh sẽ theo sát con trong quá trình học thông qua việc nhận xét về con hàng ngày. Enspire luôn mong muốn và cam kết triển khai để tất cả học viên đều có tiến bộ hơn sau mỗi ngày đi học, tuy nhiên cũng như thực tế, rất khó có lớp mà 100% học sinh đều tiến bộ được.
Có kê bàn ghế lớp học khác được không?	Enspire English đặt bàn ghế lớp học riêng theo từng trình độ như Kindy, Kids, SupK. Việc bố trí bàn ghế trong lớp sẽ do giáo viên thực hiện để phù hợp với buổi giảng cũng như chia nhóm thực hành
Nếu tôi kiểm tra thấy tài liệu học tập khó hơn với trình độ con học thì tôi phải làm gì?	Thưa anh/chị bài test tại Enspire mà bé tham gia khi đánh giá xếp lớp là được đánh giá theo trình độ giáo trình nên anh chị yêu tâm về tích tương thích giữa trình độ xếp lớp và tài liệu học tập. Tuy nhiên, nếu quá trình học mà học viên thấy khó thì PH có thể báo lại với GVCN lớp để đánh giá lại đầu vào cho bé và có thể xếp bé thấp hơn 1 trình độ so với trình độ thực đánh giá của con để giúp con tự tin trong quá trình học.
Nhà tôi xa không đưa đón con được.	"Hỏi anh/chị ở gần khu vực nào để chuyển chi nhánh khác trong hệ thống.
Phải đứng về phía lợi ích của khách hàng. Tuy nhiên cần nói về lợi ích đầu ra khi bé giỏi Tiếng Anh: Con muốn thành công trong cuộc sống; muốn đi du học; muốn trở thành công dân quốc tế hay không đều phải giỏi tiếng Anh. 15-20 năm nữa người nước ngoài sẽ rất đông ở Việt Nam vậy nếu cháu không biết tiếng Anh thì có thể làm gì"
Khách hàng phân vân, muốn về nhà tham khảo ý kiến của vợ/chồng.	Thưa a/c thì việc chi trả học phí cho con như thế này thì thuận vợ thuận chồng là điều tốt nhất. Hỏi Ph: A/c có thích chương trình này không ạ? Thời gian a/c có sắp xếp được không ạ? Theo em thế này, a cứ về tham khảo ý kiến của c đi ạ. Nhưng trước hết a cứ đặt cọc giữ chương trình cho bé. (Còn nếu không chốt được cọc thì Chốt sang học thử: Anh đăng ký học thử cho bé nhà mình ). Lưu ý: Mình tôn trọng ý kiến của người ta thì người ta sẽ tôn trọng ý kiến của mình.
Khách hàng chưa nộp tiền, muốn về cân đối thu chi.	Thưa a/c về việc kinh phí thì bên e cũng rất hiểu vấn đề này. A/c cứ về nhà cân nhắc thu chi của gia đình làm sao cho hợp lý. Tuy nhiên không biết a/c có thích chương trình không ạ? Bé có thích chương trình không ạ? Theo em thì a/c cứ cho cháu đi học thử 3 buổi xem cháu có hứng thú và tiếp thu bài như thế nào? Nếu cháu thích thì a/c đăng ký cho cháu học. Vì sau này Tiếng Anh rất quan trọng. ( Sau đó chúng ta nêu ra lợi ích của việc học Tiếng Anh ).
Con tôi đang học ở Apollo yên tâm rồi, không muốn chuyển chi nhánh khác.	"Chúc mừng anh/chị đã sớm định hướng và phát triển Tiếng Anh cho con. Hiện nay có rất nhiểu chi nhánh Tiếng Anh được mở ra. Vậy việc lựa chọn chi nhánh nào phù hợp và giúp con phát triển là mối quan tâm hiện nay của các phụ huynh.
Anh/chị cho em hỏi cháu đã giao tiếp nhiều với người nước ngoài chưa ạ?
Cháu nói Tiếng Anh tốt chưa ạ?
Cháu có tự tin đứng nói trước đám đông chưa ạ?
Sau đó tùy cơ ứng biến:
Nói về điểm khác biệt của Enspire English (phương pháp học lấy người học là chi nhánh, dự án nhỏ, phần mềm trên điện thoại)"
Sau lớp học Demo, phụ huynh lo lắng học thật không giống học Demo, chưa cho con học lớp trial nên chưa dám đóng tiền.	Sau lớp học Demo, chi nhánh khuyến khích phụ huynh đưa con đi học Trial để yên tâm về Chương trình học của các con
Tôi có được thu lại tiền nếu con không thích không?	
Sau khi đăng ký học theo gói ưu đãi khai trương thì các khóa học sau có được ưu đãi gì không?	Có; Nhưng chương trình sẽ theo từng thời điểm nhất định, Enspire thường có chế độ ưu đãi bổ sung thêm cho học viên đăng ký học tiếp
Tôi có thể đóng học phí từng tháng không?	Enspire English không có chính sách đóng học phí từng tháng. Nếu như Anh/chị gặp khó khăn về tài chính, Enspire English có liên hệ với các ngân hàng để hỗ trợ anh/chị thực hiện thủ tục trả góp, trong thời gian trả góp, toàn bộ phần lãi suất sẽ do Enspire chi trả.
Tôi có hai con học ở hai trình độ khác nhau.Tại sao học phí lại như nhau? Theo tôi nghĩ lớp bé hơn thì học phí phải thấp hơn chứ?	Mỗi trình độ chúng tôi đều cung cấp các giáo viên có trình độ tương đồng, các điều kiện học giống nhau và đòi hỏi đạt được những yêu cầu kiến thức nhất định cho nên chi phí cũng như nhau ạ
Việc đóng học phí dài khóa và một khóa có sự khác nhau về mức đóng không?	Việc đóng nhiều khóa 1 lúc sẽ được hưởng ưu đãi nhiều hơn với việc đóng tiền 1 khóa, ngoài ra, cũng sẽ giúp anh/chị tránh phải đóng học phí nhiều hơn nếu giá tăng
GVNN khi giảng dạy tại Enspire họ có am hiểu văn hóa và phong tục tập quán của Việt Nam không? Và điều này có ảnh hưởng đến việc học tập của các học viên không?	Giáo viên dạy tại Enspire English thường xuyên phải trải qua các khóa đào tạo về phương pháp dạy, văn hóa của học viên, phụ huynh Việt Nam, nên về điểm này phụ huynh hoàn toàn có thể yên tâm. Ngoài ra, trong mỗi lớp học, Enspire English luôn có 1 trợ giảng để hỗ trợ GV thực hiện giảng dạy tốt hơn
Theo anh/chị thì lứa tuổi nào học tiếng anh với người nước ngoài là hiệu quả nhất? Các em học sinh có cá tính nhút nhát, ngại giao tiếp học người nước ngoài có hiệu quả không?	Độ tuổi học ngoại ngữ hiệu quả từ 2 đến 6 tuổi. Đây là giai đoạn vàng cho việc học. Giai đoạn này trẻ chủ yếu học về phát âm, phản xạ và đặc biệt hình thành sự yêu thích học ngoại ngữ cho trẻ do đó việc học với GVNN bản ngữ là vô cùng cần thiết. Với những bé ngại giao tiếp, cá tính hơi nhút nhát thì việc học với GVNN càng hiệu quả vì họ rất yêu trẻ, có phương pháp khuyến khích trẻ để trẻ tự tin giao tiếp.
Enspire English ngày càng có nhiều chi nhánh, làm sao đảm bảo được chất lượng giảng dạy?	"Như a/c đã thấy việc Enspire english ngày càng có nhiều chi nhánh ở các thành phố lớn và các tỉnh hơn chứng tỏ là bên em đang tạo ra niềm tin rất lớn đối với phụ huynh và phát triển mạng lưới tốt. Bên em luôn tâm niệm rằng sẽ phụng sự cho khách hàng được tốt nhất và đem lại lợi ích tốt nhất cho Phụ huynh và các con. Chính vì thế chương trình và cách thức giảng dạy của Enspire English luôn đảm bảo tính đông nhất cao. cụ thể:    
1. Giáo viên của Enspire English luôn được tuyển chọn từ một đầu mối tại trụ sở chính Hà nội và được đào tạo bài bản, sát hạch kỹ càng. Điều kiện đầu vào cũng phải rất khắt khe :  Là giáo viên bản ngữ, 100% tốt nghiệp Đại học và 100% có chứng chỉ TEFL, TESOL, Celta.... 2, Hệ thống chương trình toàn diện các trình độ và các lứa tuổi được quản lý bới bộ phận học thuật thống nhất của trụ sở chính. 3. Các hoạt động ngoại khóa phong phú hỗ trợ học viên rèn luyện các kỹ năng ngoài lớp học. 4. Cơ sở vật chất hiện đại. 5. Hệ thống giáo viên chăm sóc nhiệt tình chu đáo là những yếu tố đảm bảo chất lượng dịch vụ Enspire cung cấp ạ.                                                                                                                                                                                                                                       "
Hệ thống giáo trình của Enspire như thế nào?	Enspire English sử dụng toàn bộ giáo trình bản quyền từ các nhà xuất bản uy tín của thế giới. Chỉ trong trường hợp sách không về, Enspire English mới in sách không bản quyền, khi đó Enspire Englsh sẽ thông báo với phụ huynh về tình trạng, sau đó sẽ tiếp tục mua bổ sung sách và đổi cho hcoj viên
Cơ sở vật chất của Enspire English có khác biệt gì so với các chi nhánh khác? Phòng học có những trang thiết bị gì?	Hệ thống anh ngữ Enspire tự hào là đơn vị tiên phong trong việc xây dựng cơ sở vật chất hiện đại phù hợp với thời đại 4.0 trong giảng dạy về anh ngữ. Phòng học đảm bảo diện tích, được trang trí bắt mắt với các hình vẽ, trang thiết bị hiện đại gồm 3 bảng. Bảng tương tác trong giảng dạy, bảng để GVNN tôn vinh học sinh ngoan và giỏi trong lớp, bẳng thành tích. Bàn ghế chống gù, ánh sáng đảm bảo chống cận.
Hệ thống chữa cháy tại Enspire có an toàn không?	Theo quy đinh về phòng cháy chữa cháy của pháp luật hiện hành.
Tôi quan sát việc giảng dạy tiếng anh tại trung tâm có kết hợp nhiều các hoạt động vui chơi, điều này có làm ảnh hưởng đến chất lượng học tập của các cháu?	Tùy theo tứng lứa tuổi và trình độ học của các con tại Enspire mà có phương pháp  và tổ chức hoạt động giảng dạy khác nhau. Ở lúa tuổi tiểu học trở xuống việc học luôn gắn với các hoạt động để tạo ra sự hứng thú, tránh nhàm chán cho các học viên giúp học viên hứng thú và nhớ lâu các kiến thức đã học chứ hoàn toàn không làm giảm chất lương học tập.
Ngoài giờ học trên lớp, các cháu muốn tham gia CLB Tiếng Anh để luyện thêm nghe nói thì chi nhánh  mình có tổ chức hay không? Nếu có thì ngày, giờ cụ thể như thế nào? 	CLB tiếng anh là một trong những hoạt ngoại khóa diễn ra hàng tháng tại chi nhánh Enspire. Đây là sân chơi bổ ích cho các bạn học viên Enspire luyện các kỹ năng tiếng anh như nghe, nói và các kỹ năng đứng trước đám đông. Ngoài ra hệ thống anh ngữ Enspire còn có rất nhiều các hoạt động ngoại khóa bổ ích khác để các học viên tham gia rèn luyện các kỹ năng. 
Tôi có một bé đang học lớp 7, đã được học tiếng Anh ngay từ nhỏ bên VUS,về ngữ pháp bé rất vững chắc,vì ngoài giờ học bên VUS tôi có mời thầy về dạy thêm cho bé tại nhà nhưng khả năng nói tiếng Anh của bé  chưa tự nhiên.Cho tôi hỏi có lớp học nào chuyên luyện nghe nói không?	Nếu bé phát triển đều các kỹ năng nghe, nói, đọc và viết tiếng anh là rất tốt. Tuy nhiên nếu không được cả bốn ký năng thì lứa tuổi này bé nên tập trung vào kỹ năng nghe và nói mà không quá tập trung vào kỹ năng ngữ pháp vì bản thân bé trong Tiếng Việt cháu cũng chưa học ngữ pháp. Vậy, việc chị tìm đến trung tâm của Enspire để bổ sung thêm việc học nghe và nói là hoàn toàn hợp lý.  Hệ thống anh ngữ Enspire của chúng em xây dựng mục tiêu học ngoại ngữ là đường hướng giao tiếp sẽ hỗ trợ thẻm các kỹ năng mà con chị đang cần một cách tốt nhất ạ.
Con tôi được 5 tuổi chưa học Tiếng Anh ở đâu cả. Tôi cũng muốn cho con tôi học tiếng Anh, nhưng sợ bé học sớm thì Tiếng Anh và Tiếng Việt sẽ bị lẫn lộn.	"Việc này là không thể xảy ra, mình phân tích tâm lý lứa tuổi cho phụ huynh: 0 - 3 tuổi : Phát triển đến 80% trí não, Từ 3 -6 tuổi: Các con có khả năng bắt chước tuyệt vời. Và từ 0-6 tuổi : là tuổi vàng để học ngoại ngữ, lứa tuổi này có các vùng trắng ngôn ngữ giúp trẻ con hấp thụ ngôn ngữ tự nhiên nhất, hiệu quả nhất và không bị lẫn lộn các ngôn ngư với nhau. Chính vì vậy khi hai ngôn ngữ đều phát triển tốt, không có gì lẫn lộn. Đặc biệt, học tiếng Anh sớm có thể giúp trẻ dễ dàng phát âm giống người bản xứ, là điều mà người lớn không sao làm được vì khi đó lưỡi của các con rất mềm phát âm sẽ rất chuẩn. Ngoài ra các bé có thể phản xạ và tư duy bằng tiếng anh luôn.
Tuy nhiên cũng cần tránh ép, áp đặt gây sức ép khi các bé học ngôn ngữ sẽ gây phản tác dụng. Giai đoạn làm quen hay tạo cho bé sự yêu thích học tiếng anh."
Học với Giáo viên bản ngữ thì ngữ pháp có đảm bảo không em, vì theo chị biết học với Giáo viên bản ngữ chỉ giúp mình luyện nghe nói tốt thôi, chứ ngữ pháp thì không chắc lắm?	Mục tiêu các khóa học của Enspire trong chương trình giảng dạy cho Kindy, SKvà SupK là đường hướng giao tiếp, nghĩa là phục vụ việc các cháu nghe nói tương tác với bạn và giáo viên từ đó giúp các bé tương tác tốt khi đi ra môi trường. Việc giảng dạy ngữ pháp của GVNN cũng hoàn toàn khác họ sẽ dạy theo vấn đê ngữ pháp trong bài học, dạy ngữ pháp trong các tình huống cụ thể của bài học nên nắm ngữ pháp rất chắc và nhớ lâu. 
Con tôi phản ánh là học lớp này dễ quá nên cháu muốn vượt cấp. Như vậy có được không?	Chi nhánh sẽ cho cháu kiểm tra trình độ đầu vào lại để có thể xếp lớp cho con, cũng như tham khảo ý kiến đánh giá của giáo viên về con, tuy nhiên nếu như giáo viên đánh giá không vượt trội hơn nhiều thì Chi nhánh khuyên phụ huynh nên để con tiếp tục theo học tại lớp
Giáo viên sẽ chỉnh sửa tất cả các lỗi của con tôi chứ?	Câu trả lời là “Không” vì điều này sẽ không mang lại nhiều lợi ích. Để học ngoại ngữ tốt, học sinh cần phải cảm thấy thoải mái khi mắc lỗi. Các giáo viên của chúng tôi được đào tạo bài bản để chọn lọc những lỗi cần sửa. Mục đích của giáo viên là sẽ chú trọng vào các lỗi căn bản trong giao tiếp trước tiên (lỗi ngữ pháp và phát âm cơ bản) sau đó sẽ tập trung vào những lỗi liên quan đến sự lưu loát trong giao tiếp (ngữ pháp, từ vựng nâng cao và phát âm chuẩn). Sự tự tin và mạnh dạn là các yếu tố vô cùng quan trọng của việc học tập ngôn ngữ, vì thế chúng tôi rất cẩn trọng trong việc khi nào nên sửa lỗi và sửa như thế nào.
Liệu tôi có thể yêu cầu thay đổi giáo viên nếu con tôi không thích ?	Tất cả giáo viên tại Enspire English đều trải qua quy trình tuyển dụng nghiêm ngặt, do vậy chất lượng giáo viên luôn được đảm bảo. Enspire English chỉ thực hiện đổi giáo viên khi giáo viên vi phạm các quy định của Công ty hoặc trong trường hợp bất khả kháng (ốm đau, tai nạn...). Tuy nhiên trong trường hợp nếu tất cả học viên trong lớp đều phản ánh về chất lượng của giáo viên, Enspire English sẽ xem xét và đánh giá để có những điều chỉnh phù hợp hơn. Xét cho cùng, tất cả hoạt động của Enspire đều vì mục tiêu giúp học viên có được những trải nghiệm học tiếng anh hiệu quả và vui thích.
Tại sao ngữ pháp của con tôi vẫn không cải thiện? Tại sao điểm Tiếng Anh của con tôi ở trường vẫn không thay đổi?	"Chị ơi thế ngữ pháp & điểm của con thế nào ạ?
Lắng nghe khách hàng nói, tìm hiểu cùng xem thực tế như thế nào, có chính xác không,
anh/chị ạ bên em tập trung vào rèn cho con anh chị học tập tại Enspire English bé sẽ tự tin đứng nói trước đám đông; Rèn được tư duy phản biện; Học Tiếng Anh như ngôn ngữ thứ hai đó chính là hành trang tuyệt vời giúp bé trở thành nhà lãnh đạo trong tương lai.
Về ngữ pháp: (Với trình độ SKtrở xuống) Với các bé từ SKtrở xuống thì ngữ pháp chưa phải là vấn đề quá quan trọng thì cái việc tập trung cho cháu thì làm sao cho các cháu có thể nghe nói được và Chương trình của bọn em phát triển cả 4 kỹ năng kể cả ngữ pháp nó cũng phát triển tuy nhiên nó theo đúng lứa tuổi và trình độ nó thôi . Bản chất là ở đây bọn em không giống như trên trường là hoàn toàn tập trung và ưu tiên vào ngữ pháp mà phát triển đồng đều 4 kỹ năng và học là học theo chủ đề và mỗi khi xuất hiện tình huống ngữ pháp thì giáo viên sẽ lấy tình huống đó ra để phân tích cho nen cháu học tiếng anh với thời gian đủ dài thì cháu có thể vừa nghe nói tốt vừa ngữ pháp tốt."
Nếu trong quá trình học con tôi không thích giao viên giảng dạy cháu hiện tại, bạn thường e ngại và không tương tác với giáo viên đó. Vậy Enspire có phương án gì hỗ trợ cháu và gia đình?	Chúng tôi sẽ tìm hiểu nguyên nhân của việc cháu còn e ngại tiếp xúc với giáo viên. Nếu do giáo viên có hành vi và thái độ làm cháu e ngại chúng tôi sẽ góp ý với giáo viên để điều chỉnh. Nếu do học viên quá nhút nhát thì chúng tôi sẽ trao đổi với trợ giảng và GVCN hỗ trợ cháu trong giờ học để cháu mạnh dạn tương tác với giáo viên.
Tôi có thẻ ưu đãi 60%. Nhưng hiện tại tôi đã đóng cọc 1 triệu đồng theo Chương trình ưu đãi 50% học phí được tặng 01 năm sách miễn phí. Vậy tôi có được chuyển qua chương trình 60%?	Ưu đãi được tính tại thời điểm khách hàng đăng ký học dù là đặt cọc hay đóng đấy đủ. Vì vậy, không được điểu chỉnh mức ữu đãi mới tại thời điểm đống đầy đủ học phí
